filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
UiO-66,PIM-1-TT,150,1150,11,6,0.1,1,25,4,206.8965517,14.5,1.833333333,0.951724138
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.07,50,25,6,68.1,20.05580029,1.223898082,0.989874814
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.3,50,25,2,65,22.58923077,1.488456038,0.757632282
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,4,0.227,9.911894273,2.271111111,0.733345978
MIL-101,Matrimid 5218,,2730,19.9,12,0.1,,35,7,0.21,34.9047619,1.638472033,1.495996204
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,2.309090909,1.012759171
Ni2(dobdc),6FDA-Durene,17.5,1400,7.6,7.6,0.21,,25,1,34.77777778,18,1.653354633,0.683333333
MIL-53,Matrimid 5218,650,1350,,6,0.25,90,35,3,0.260869565,34.5,0.911111111,0.942028986
ZIF-8,P84,30,1821,11.8,3.4,0.08,20,25,3,0.049,54.28571429,1.184210526,1.160526316
MOF-5,PEI,55,2387,8.67,8.67,0.25,35,25,3,0.09,18.66666667,3.208333333,1.255434783
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,5,0.249,9.236947791,3.5,0.939116379
Ni2(dobdc),cellulose acetate,17.5,1400,7.6,7.6,0.23,,25,1,0.114379085,30.6,1.08,0.990196078
ZIF-8,PEBAX 1657,151,1315,11.6,3.4,2,13,30,2,39,3.897435897,1.710526316,3.254172015
MIL-53,6FDA/ODA-DAM,125,840,7.8,7.8,0.32,61.5,35,11.2,1.7,18.94117647,1.888198758,1.528541852
T-MOF-5,PEI,90,1280,6.3,6.3,0.05,35,25,6,0.09,18.88888889,1.117647059,1.005882353
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,1,0.22,9.318181818,2.546341463,1.035480817
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,2,0.223,9.417040359,2.280952381,0.924822511
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,1.681818182,1.22462489
UiO-66,PMMA,100,1500,11,6,0.05,150,24,4,0.008,68.75,1.072727273,1.033953998
MIL-68,PSF,1364,100,6,6,0.08,,35,0.27,0.19,28.42105263,0.981481481,1.096949891
MIL-125,Matrimid 9725,1750,1040,10.7,5.5,0.05,,35,9,0.133333333,30,1.25,1.1
MIL-101,PSF,1000,519,19.9,12,0.15,75,35,3,0.211570248,24.2,1.40234375,1.033057851
UiO-66,6FDD,324,537,11,6,0.5,50,35,3,5.3,31.13207547,3.939393939,1.03360336
UiO-66,6FDA-DAM,50,951,11,6,0.14,45,25,2,33.89830508,29.5,1.87,1.050847458
MIL-101,PI,1000,519,19.9,12,0.15,75,35,3,0.236842105,38,1.005555556,0.952631579
MIL-53,PVDF,100,1170,8.5,8.5,0.05,,25,0.5,0.043,21.27906977,1.322404372,0.997603298
Cu3BTC2,ODPA–TMPDA,400,1232,8.6,8.6,0.1,55,35,2,1.628542165,29.29,2.348008386,0.887674974
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,2,0.223,9.417040359,2.285714286,0.884920635
Cu3BTC2,6FDA-mPD,100,950,,,0.08,,35,3,0.185185185,54,1.2,1.240740741
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,2.368181818,0.860809223
UiO-66,Matrimid 9725,150,800,11,6,0.3,85,35,9,0.189102564,31.2,2.305084746,1.445512821
ZIF-8,Pebax2533,400,1350,11.6,3.4,0.05,50,25,6,34,8.794117647,1.327759197,0.885172798
MIL-53,6FDA/ODA-DAM,125,840,7.8,7.8,0.2,61.5,35,11.2,2.3,23.52173913,0.972273567,0.657714472
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,5,0.249,9.236947791,1.817391304,1.319330714
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,2.868181818,0.98978667
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,4,0.227,9.911894273,2.164444444,0.914951376
MIL-53,6FDA/ODA-DAM,125,1440,8.5,8.5,0.15,61.5,35,11.2,1.7,18.94117647,2.372670807,0.443246195
TKL-107,Matrimid 5218,,1454,6,6,0.1,65,25,2,0.209366391,36.3,1.315789474,1.652892562
KAUST-7,6FDA-Durene,80,248,4.7,4.7,0.22,50,35,2,31.45833333,24,1.291390728,1.25
T-MOF-5,PEI,90,1280,6.3,6.3,0.15,35,25,6,0.09,18.88888889,1.235294118,1.010695187
ZIF-90,6FDA-TP,79,1426,11.2,3.5,0.4,58.5,35,,0.5,40,2.25,0.865384615
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.05,50,25,2,65,22.58923077,1.154396241,0.887997108
ZIF-90,6FDA-TP,79,1426,11.2,3.5,0.5,58.5,35,,0.5,40,3.15,0.875
ZIF-8,PEBAX 1657,275,1029,11.6,3.4,0.05,80,25,1,4,19,1.078947368,0.959064327
UiO-66,PIM-1-TT,150,1150,11,6,0.05,1,25,4,206.8965517,14.5,1.6,1.04137931
ZIF-8,6FDA-durene-PDMC.,,1350,11.6,3.4,1,70,35,3.5,30,15.61666667,2.544290288,0.177508625
UiO-66,6FDD,324,537,11,6,0.1,50,35,3,5.3,31.13207547,1.223636364,0.967951153
ZIF-8,PEBAX 1657,44,1792,11.6,3.4,32,13,30,2,39,3.897435897,1.875,3.482142857
ZIF-8,6FDA-Durene,50,1500,11.6,3.4,0.1,,30,3.5,66.57,7.030343999,3.048545971,4.08251268
ZIF-11,6FDA,1100,350.29,14.6,3,0.2,70,35,4,0.63,32.6984127,12.5,0.948795181
ZIF-8,6FDA-HAB DAM-9,50,1350,11.6,3.4,0.1,60,35,1,18.4,22.44565217,1.121065375,1.192346989
Cu3BDC2,PIM-1-TT,27.5,180,5.2,5.2,0.05,0.2,25,1,489,3,0.331355932,4.25
sod-ZMOF,Matrimid 5218,2000,33,1.6,9.6,0.05,47.5,30,4,0.15,37.26666667,1.221824687,0.964598437
MIL-53,Ultem 100,125,1440,8.5,8.5,0.15,61.5,35,11.2,0.2,31,0.285483871,1.392604249
MIL-53,Matrimid 5218,100,1118,8.5,8.5,0.333,55,35,2,0.22,38.18181818,3.166666667,1.201149425
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.1,50,25,6,68.1,20.05580029,1.302679748,1.018513098
ZIF-8,PEGDA,200,1500,11.8,3.4,0.2,125,35,,6.5,20,3.846153846,0.85
ZIF-7,PIM-1-TT,30,426,7.5,3,0.3,85,30,2,368.852459,12.2,1.111111111,0.803278689
MOF-5,Matrimid 5218,100,3000,11,11,0.1,35,35,2,0.22,40.90909091,1.233333333,1.233333333
ZIF-8,PEBAX 1657,250,698,11.6,3.4,0.05,80,25,1,4,19,1.052631579,1.203007519
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.03,50,25,6,68.1,20.05580029,1.061429199,0.958664834
MIL-53,Matrimid 5218,200,1200,8.5,8.5,0.2,55,35,5,0.355,23.38028169,2.048192771,1.938955823
ZIF-8,TBDA2-6FDA,45,1250,11.6,3.4,0.2,,35,1,8,35.625,2.463157895,0.656842105
Cu3BTC2,PEBAX 1657,,644,8.6,8.6,0.2,75,30,0.3,5.12,16.4453125,2.020190024,1.596199525
