filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
ZIF-11,6FDA,1100,350.29,14.6,3,0.3,70,35,4,0.63,32.6984127,3.546116505,0.930855583
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.05,50,25,6,68.1,20.05580029,1.158881242,0.963611875
MIL-53,6FDA-ODA,125,745,7.8,7.8,0.3,,35,11.2,2.979166667,4.8,1.013986014,3.25
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,4,0.227,9.911894273,1.733333333,1.178043912
ZIF-8,Matrimid 5218,60,1450,11.6,3.4,0.2,55,22,4,0.23,35.08695652,1.087980173,1.087980173
MIL-101,SPEEK,500,3175,19.9,7.5,0.3,65,25,1,75.3968254,7.56,2.105263158,1.603174603
MIL-68,PSF,794,100,6,6,0.04,,35,0.27,0.19,28.42105263,0.87037037,0.972766885
UiO-66,6FDD,324,537,11,6,0.3,50,35,3,5.3,31.13207547,2.047878788,0.952083998
ZIF-8,6FDA-Durene/DABA (9/1),80,1350,11.6,3.4,0.2,50,3,10,13.1,19.54198473,1.53125,1.044759115
UiO-66,6FDA-ODA,200,857,11,6,0.25,30,35,11.2,0.33,43.63636364,3.5,1.05
MIL-53,PMP,110,1440,7.8,7.8,0.15,65,30,2,11.32,8.722614841,1.413408953,1.803809396
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,4,0.227,9.911894273,3.044444444,0.953226054
ZIF-8,Pebax2533,400,1350,11.6,3.4,0.15,50,25,2,42,8.357142857,1.635327635,0.738535061
ZIF-71,PIM-1-TT,,996.4,16.5,4.2,0.1,60,35,3.5,322.2,10.22563625,1.2963244,1.106718923
ZIF-7,PEI,40,350,7.5,3,0.05,400,35,2.03,18.9,4.365079365,2.980606061,0.522089477
MIL-53,PI,1000,1475,6,6,0.15,75,35,3,0.236842105,38,0.938888889,1.013157895
UiO-66,Matrimid 5218,350,980,11,6,0.2,100,25,3,0.6,30,2.222222222,1.4
ZIF-7,PIM-1-TT,30,426,7.5,3,0.05,85,30,2,368.852459,12.2,0.988888889,1.06557377
NOTT-300,PEBAX 1657,900,1370,6.5,6.5,0.2,60,25,10,3.8,21.61842105,1.765063907,1.176709272
ZIF-7,XLPEO,70,350,7.5,3,0.28,100,35,5,4.565217391,23,1.285714286,1.586368978
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.3,50,25,6,68.1,20.05580029,1.563406062,0.921800458
ZIF-7,XLPEO,70,350,7.5,3,0.17,100,35,5,4.565217391,23,1.19047619,1.293995859
MIL-53,Matrimid 5218,100,1590,8.5,8.5,0.375,55,35,2,0.22,38.18181818,4.761904762,2.380952381
Cu3BTC2,PVDF,15000,626,,,0.1,,25,0.5,0.043,21.27906977,1.750819672,1.711028316
